City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,52.07,85,71,12.71,broken clouds
1,Port Elizabeth,ZA,-33.918,25.5701,66.31,81,100,1.99,overcast clouds
2,Saint George,US,37.1041,-113.5841,42.8,45,0,0.0,clear sky
3,Okha,RU,53.5739,142.9478,11.98,92,66,5.37,broken clouds
4,Amahai,ID,-3.3333,128.9167,79.16,84,100,2.28,overcast clouds
5,Saldanha,ZA,-33.0117,17.9442,62.65,72,100,21.85,overcast clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,78.76,83,74,4.0,broken clouds
7,Port Hedland,AU,-20.3167,118.5667,73.45,78,0,16.11,clear sky
8,Ancud,CL,-41.8697,-73.8203,56.89,92,100,7.61,overcast clouds
9,Longyearbyen,SJ,78.2186,15.6401,21.04,73,40,6.91,scattered clouds
10,Pitimbu,BR,-7.4706,-34.8086,84.79,65,14,11.36,few clouds
11,Upernavik,GL,72.7868,-56.1549,10.24,78,100,7.49,overcast clouds
12,Nikolskoye,RU,59.7035,30.7861,31.91,78,85,7.34,overcast clouds
13,Riyadh,SA,24.6877,46.7219,77.14,20,100,9.42,overcast clouds
14,Cape Town,ZA,-33.9258,18.4232,64.27,66,40,20.71,scattered clouds
15,Constitucion,CL,-35.3333,-72.4167,67.33,65,23,16.06,few clouds
16,Comodoro Rivadavia,AR,-45.8667,-67.5,78.66,27,75,19.57,broken clouds
17,Houston,US,29.7633,-95.3633,58.33,56,100,8.05,overcast clouds
18,Yellowknife,CA,62.456,-114.3525,14.56,85,75,8.05,broken clouds
19,Gizo,SB,-8.103,156.8419,81.18,76,81,2.44,light rain
20,Hermanus,ZA,-34.4187,19.2345,62.8,65,97,7.61,overcast clouds
21,Liuhe,CN,42.2401,125.7172,34.61,96,58,5.73,broken clouds
22,Albany,US,42.6001,-73.9662,41.65,68,84,5.99,broken clouds
23,Umm Lajj,SA,25.0213,37.2685,75.72,58,100,8.12,overcast clouds
24,Kavaratti,IN,10.5669,72.642,82.44,70,22,2.98,few clouds
25,Meadow Lake,US,34.8014,-106.5436,44.13,45,0,5.37,clear sky
26,Ushuaia,AR,-54.8,-68.3,60.42,33,40,8.05,scattered clouds
27,Rikitea,PF,-23.1203,-134.9692,72.48,88,100,5.59,moderate rain
28,Avarua,CK,-21.2078,-159.775,75.25,83,75,10.36,broken clouds
29,Jamestown,US,42.097,-79.2353,33.39,76,100,13.8,light snow
30,Punta Arenas,CL,-53.15,-70.9167,57.31,47,75,33.38,broken clouds
31,Mogadishu,SO,2.0371,45.3438,79.97,81,1,14.94,clear sky
32,Castro,BR,-24.7911,-50.0119,76.55,32,2,4.81,clear sky
33,Bluff,NZ,-46.6,168.3333,51.91,91,100,11.61,overcast clouds
34,Mandurah,AU,-32.55,115.7,57.45,75,51,20.15,light rain
35,Black River,JM,18.0264,-77.8487,84.43,68,44,4.65,scattered clouds
36,Barrow,US,71.2906,-156.7887,33.82,80,100,12.66,overcast clouds
37,Vaini,TO,-21.2,-175.2,69.96,100,20,3.44,few clouds
38,Polunochnoye,RU,60.8697,60.4153,-9.98,94,9,3.6,clear sky
39,Mar Del Plata,AR,-38.0023,-57.5575,66.22,74,0,10.36,clear sky
40,Puerto Carreno,CO,6.189,-67.4859,85.98,70,40,2.3,scattered clouds
41,Wanlaweyn,SO,2.6185,44.8938,79.34,74,13,13.4,few clouds
42,Mana,GF,5.6592,-53.7767,81.84,73,64,8.99,broken clouds
43,Kroya,ID,-7.6331,109.2461,76.42,91,100,2.21,light rain
44,Gazojak,TM,41.1875,61.4036,46.69,52,96,13.62,overcast clouds
45,Caravelas,BR,-17.7125,-39.2481,73.08,93,100,7.11,overcast clouds
46,Tuatapere,NZ,-46.1333,167.6833,53.06,98,100,3.27,light rain
47,Chupa,RU,66.27,33.0549,25.02,95,68,3.24,broken clouds
48,New Norfolk,AU,-42.7826,147.0587,44.71,73,8,2.37,clear sky
49,Bathsheba,BB,13.2167,-59.5167,86.61,70,75,19.57,broken clouds
50,Yar-Sale,RU,66.8333,70.8333,14.04,85,100,32.23,overcast clouds
51,Atuona,PF,-9.8,-139.0333,78.17,76,75,12.88,broken clouds
52,Deputatskiy,RU,69.3,139.9,-29.45,100,31,2.01,scattered clouds
53,Nuuk,GL,64.1835,-51.7216,23.61,74,75,15.01,broken clouds
54,Ribeira Grande,PT,38.5167,-28.7,64.8,55,20,8.05,few clouds
55,Comacchio,IT,44.6975,12.1858,55.4,88,99,5.3,overcast clouds
56,Kapaa,US,22.0752,-159.319,75.52,85,20,8.05,few clouds
57,Kruisfontein,ZA,-34.0033,24.7314,63.88,72,100,5.7,overcast clouds
58,Prince Rupert,CA,54.3161,-130.3201,46.09,51,0,17.27,clear sky
59,Mataura,NZ,-46.1927,168.8643,52.39,97,100,1.36,overcast clouds
60,Kawalu,ID,-7.3817,108.2082,73.09,97,100,1.77,overcast clouds
61,Bambous Virieux,MU,-20.3428,57.7575,69.22,58,68,6.64,broken clouds
62,Qaanaaq,GL,77.484,-69.3632,-17.3,77,10,8.16,clear sky
63,Mazatlan,MX,23.2167,-106.4167,79.92,72,0,3.0,clear sky
64,Luderitz,NA,-26.6481,15.1594,62.58,68,2,18.05,clear sky
65,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,79,40,14.97,scattered clouds
66,Khatanga,RU,71.9667,102.5,-25.06,96,100,4.21,overcast clouds
67,Robertsport,LR,6.7533,-11.3686,80.92,76,55,9.57,broken clouds
68,Yelovo,RU,57.0538,54.9207,13.98,90,19,7.02,few clouds
69,Severo-Kurilsk,RU,50.6789,156.125,33.1,67,100,11.23,overcast clouds
70,Geraldton,AU,-28.7667,114.6,63.01,59,100,16.11,overcast clouds
71,Bredasdorp,ZA,-34.5322,20.0403,60.98,63,100,6.42,overcast clouds
72,Port Lincoln,AU,-34.7333,135.8667,64.26,63,99,18.5,overcast clouds
73,Nanortalik,GL,60.1432,-45.2371,20.35,78,56,6.78,broken clouds
74,Ponta Do Sol,PT,32.6667,-17.1,73.13,58,75,6.87,broken clouds
75,Vardo,NO,70.3705,31.1107,42.78,93,75,17.27,broken clouds
76,Williamsport,US,41.2412,-77.0011,39.74,63,100,14.97,overcast clouds
77,Saskylakh,RU,71.9167,114.0833,-19.75,98,99,7.09,overcast clouds
78,Hamilton,US,39.1834,-84.5333,33.08,71,100,9.22,overcast clouds
79,Nagato,JP,34.3833,131.2,55.42,75,9,4.56,clear sky
80,Kavieng,PG,-2.5744,150.7967,82.02,72,100,9.93,overcast clouds
81,Ha Tinh,VN,18.3333,105.9,74.84,94,41,2.42,scattered clouds
82,Coquimbo,CL,-29.9533,-71.3436,64.13,77,75,10.36,broken clouds
83,Bandarbeyla,SO,9.4942,50.8122,78.62,69,1,16.4,clear sky
84,The Valley,AI,18.217,-63.0578,86.14,70,40,14.97,scattered clouds
85,Tilichiki,RU,60.4667,166.1,2.57,97,55,7.0,broken clouds
86,Maningrida,AU,-12.0667,134.2667,78.78,84,80,0.92,broken clouds
87,Preeceville,CA,51.95,-102.6677,10.49,86,100,15.52,overcast clouds
88,Burgersdorp,ZA,-30.9977,26.3286,70.05,20,67,6.11,broken clouds
89,Torbay,CA,47.6666,-52.7314,54.55,90,75,29.93,light rain
90,Port Blair,IN,11.6667,92.75,77.04,94,40,0.0,mist
91,Poronaysk,RU,49.2167,143.1167,21.31,83,16,3.2,few clouds
92,Sabha,LY,27.0377,14.4283,66.43,23,0,4.85,clear sky
93,Faya,SA,18.3851,42.4509,62.71,69,2,3.49,clear sky
94,Chokurdakh,RU,70.6333,147.9167,-9.83,94,100,5.97,overcast clouds
95,Sitka,US,57.0531,-135.33,37.29,87,0,0.0,clear sky
96,Taoudenni,ML,22.6783,-3.9836,79.74,11,0,10.0,clear sky
97,Cuamba,MZ,-14.8031,36.5372,80.76,53,69,3.89,broken clouds
98,Grindavik,IS,63.8424,-22.4338,46.87,81,75,24.16,broken clouds
99,Varhaug,NO,58.6147,5.6457,42.89,66,67,35.48,broken clouds
100,Codajas,BR,-3.8367,-62.0569,86.99,62,100,1.63,light rain
101,Dingle,PH,10.9995,122.6711,75.63,95,100,8.1,overcast clouds
102,Esil,KZ,51.9556,66.4042,9.66,99,91,2.33,overcast clouds
103,Talnakh,RU,69.4865,88.3972,-3.8,97,100,19.71,light snow
104,Deori Khas,IN,23.4,79.0167,60.51,45,0,3.76,clear sky
105,Chapais,CA,49.7834,-74.8492,20.98,86,100,9.35,light snow
106,Marzuq,YE,14.4,46.4667,65.53,68,28,5.82,scattered clouds
107,Mahebourg,MU,-20.4081,57.7,69.26,58,62,6.13,broken clouds
108,Narrabri,AU,-30.3167,149.7833,51.04,63,0,6.49,clear sky
109,Hvolsvollur,IS,63.7533,-20.2243,47.07,82,51,11.23,broken clouds
110,Codrington,AU,-38.2667,141.9667,43.21,95,5,9.04,clear sky
111,Saint-Joseph,RE,-21.3667,55.6167,68.38,72,32,8.37,scattered clouds
112,Hithadhoo,MV,-0.6,73.0833,81.34,72,38,10.51,scattered clouds
113,Bethel,US,41.3712,-73.414,45.63,55,75,11.5,broken clouds
114,Nome,US,64.5011,-165.4064,35.67,87,100,17.27,overcast clouds
115,Rodrigues Alves,BR,-7.738,-72.6509,80.8,50,75,2.48,broken clouds
116,Provideniya,RU,64.3833,-173.3,35.53,99,100,12.06,moderate rain
117,Georgetown,MY,5.4112,100.3354,77.9,99,40,0.0,thunderstorm with light rain
118,Faanui,PF,-16.4833,-151.75,78.39,79,57,2.86,light rain
119,Brae,GB,60.3964,-1.353,46.09,68,100,30.11,overcast clouds
120,Hambantota,LK,6.1241,81.1185,79.45,74,99,3.62,overcast clouds
121,Panzhihua,CN,26.5851,101.7128,50.95,65,0,1.61,clear sky
122,Mayo,US,38.8876,-76.5119,45.95,49,40,12.66,scattered clouds
123,Ampanihy,MG,-24.7,44.75,71.91,73,0,8.57,clear sky
124,Jieshi,CN,22.8134,115.8257,72.64,86,3,6.46,clear sky
125,Baruun-Urt,MN,46.6806,113.2792,25.9,54,50,6.93,scattered clouds
126,Esperance,AU,-33.8667,121.9,59.13,78,87,14.74,light rain
127,Manaus,BR,-3.1019,-60.025,91.89,55,75,8.05,broken clouds
128,Hilo,US,19.7297,-155.09,74.12,83,20,6.91,few clouds
129,Luhyny,UA,51.082,28.4006,25.5,82,84,4.97,broken clouds
130,Cidreira,BR,-30.1811,-50.2056,74.07,53,10,8.01,clear sky
131,Birjand,IR,32.8663,59.2211,54.07,28,40,4.61,scattered clouds
132,Namibe,AO,-15.1961,12.1522,69.85,80,43,7.9,scattered clouds
133,Hobart,AU,-42.8794,147.3294,45.05,93,11,4.61,few clouds
134,Dmitriyevka,RU,54.75,55.3333,13.55,85,97,10.13,overcast clouds
135,Mount Isa,AU,-20.7333,139.5,74.97,38,88,5.75,overcast clouds
136,Cortez,US,37.3489,-108.5859,39.04,35,0,0.0,clear sky
137,Saint-Philippe,RE,-21.3585,55.7679,69.39,73,48,8.21,scattered clouds
138,Dunedin,NZ,-45.8742,170.5036,52.81,97,100,1.99,overcast clouds
139,Shihezi,CN,44.3,86.0333,27.77,85,88,3.98,overcast clouds
140,Tasiilaq,GL,65.6145,-37.6368,37.56,89,95,5.35,overcast clouds
141,Suwannaphum,TH,15.6035,103.8021,79.86,77,100,6.2,overcast clouds
142,East London,ZA,-33.0153,27.9116,65.34,94,100,10.36,mist
143,Pevek,RU,69.7008,170.3133,-3.77,98,98,3.74,overcast clouds
144,Boa Vista,BR,2.8197,-60.6733,91.38,49,75,8.05,broken clouds
145,Alice Springs,AU,-23.7,133.8833,72.95,53,97,14.97,overcast clouds
146,Pisco,PE,-13.7,-76.2167,69.03,77,0,11.5,clear sky
147,Portland,US,45.5234,-122.6762,44.01,60,75,23.02,broken clouds
148,Suntar,RU,62.1444,117.6319,6.69,98,100,1.5,overcast clouds
149,Polyarnyy,RU,69.1989,33.4478,34.92,82,100,7.78,overcast clouds
150,Talaya,RU,61.3833,152.75,-16.35,99,100,2.98,overcast clouds
151,Fortuna,US,40.5982,-124.1573,43.14,93,0,4.61,clear sky
152,Raudeberg,NO,61.9875,5.1352,50.67,30,42,4.52,scattered clouds
153,Anahuac,MX,27.2333,-100.15,51.26,46,100,2.42,overcast clouds
154,Thompson,CA,55.7435,-97.8558,-0.24,71,75,6.91,broken clouds
155,Abbeville,FR,50.1,1.8333,53.56,85,87,11.56,light rain
156,Athabasca,CA,54.7169,-113.2854,1.81,72,75,7.29,broken clouds
157,Sombrio,BR,-29.1139,-49.6167,82.94,50,9,7.76,clear sky
158,Souillac,MU,-20.5167,57.5167,72.07,59,50,5.97,scattered clouds
159,Nova Mayachka,UA,46.6,33.2271,55.42,95,100,17.83,moderate rain
160,Broome,US,42.2506,-75.833,36.66,83,100,10.36,light snow
161,Lebanon,US,36.2081,-86.2911,42.28,56,0,5.75,clear sky
162,Manoel Urbano,BR,-8.8389,-69.2597,94.21,38,82,4.0,broken clouds
163,Gravdal,NO,68.1214,13.5031,37.29,55,0,4.61,clear sky
164,Egvekinot,RU,66.3167,-179.1667,28.53,99,100,5.37,snow
165,Platanos,GR,37.6667,21.6167,65.08,89,84,5.17,broken clouds
166,Sawakin,SD,19.1059,37.3321,85.06,63,2,7.4,clear sky
167,Tashtyp,RU,52.7939,89.8983,18.81,86,100,4.97,overcast clouds
168,Lakes Entrance,AU,-37.8811,147.981,45.16,84,7,3.53,clear sky
169,Batticaloa,LK,7.7102,81.6924,75.6,75,99,11.3,overcast clouds
170,Denia,ES,38.8408,0.1057,74.84,57,13,7.0,few clouds
171,Najran,SA,17.4924,44.1277,72.25,28,19,1.39,few clouds
172,Shaunavon,CA,49.6501,-108.4181,8.38,91,99,18.28,overcast clouds
173,Bergerac,FR,44.8333,0.5,58.77,94,75,10.36,broken clouds
174,Ilulissat,GL,69.2167,-51.1,17.62,86,75,4.61,light shower snow
175,Nishihara,JP,26.1842,127.7558,74.86,94,75,16.11,moderate rain
176,Port Hardy,CA,50.6996,-127.4199,32.18,100,20,2.3,few clouds
177,Laguna,US,38.421,-121.4238,61.09,74,0,3.44,clear sky
178,Butaritari,KI,3.0707,172.7902,80.6,76,100,16.49,overcast clouds
179,Opuwo,NA,-18.0607,13.84,79.2,39,89,10.11,light rain
180,Makakilo City,US,21.3469,-158.0858,74.68,82,0,5.75,clear sky
181,Mitchell,US,43.7094,-98.0298,24.78,62,75,23.02,broken clouds
182,Norman Wells,CA,65.282,-126.8329,9.41,82,58,2.73,broken clouds
183,Jeremie,HT,18.65,-74.1167,82.49,75,33,5.82,scattered clouds
184,Goya,AR,-29.14,-59.2626,98.04,16,0,10.4,clear sky
185,Hare Bay,CA,48.8499,-54.0148,47.8,92,100,13.51,overcast clouds
186,Avera,US,33.194,-82.5271,51.55,28,37,9.19,scattered clouds
187,Iralaya,HN,15.0,-83.2333,82.53,81,100,12.73,light rain
188,Port Hueneme,US,34.1478,-119.1951,74.84,18,0,12.66,clear sky
189,Talavera,PH,15.6167,120.9333,76.42,84,96,4.79,light rain
190,Isangel,VU,-19.55,169.2667,77.52,87,90,5.82,overcast clouds
191,Pyapon,MM,16.2833,95.6833,75.24,90,97,5.08,overcast clouds
192,Moron,AR,-34.6534,-58.6198,90.97,36,97,5.95,overcast clouds
193,Pampas,PE,-12.4,-74.9,64.17,43,92,10.67,overcast clouds
194,Port Alfred,ZA,-33.5906,26.891,64.18,92,100,7.49,overcast clouds
195,Brokopondo,SR,4.75,-55.1667,88.2,51,40,3.94,scattered clouds
196,Sigiriya,LK,7.9518,80.7426,68.18,86,98,0.65,overcast clouds
197,Hasaki,JP,35.7333,140.8333,51.22,55,100,12.24,overcast clouds
198,Gewane,ET,10.1664,40.6453,84.83,28,14,10.65,few clouds
199,Babu,CN,24.4167,111.5167,66.02,92,93,2.15,overcast clouds
200,Nhulunbuy,AU,-12.2333,136.7667,81.21,83,96,3.44,overcast clouds
201,Pimentel,PE,-6.8367,-79.9342,73.69,64,0,12.66,clear sky
202,Baglung,NP,28.2719,83.5898,52.3,86,12,3.94,few clouds
203,Fereydun Kenar,IR,36.6864,52.5225,61.02,88,0,0.0,clear sky
204,Tiksi,RU,71.6872,128.8694,-13.22,96,100,3.36,overcast clouds
205,Husavik,IS,66.0449,-17.3389,45.12,81,90,17.27,overcast clouds
206,Bad Doberan,DE,54.1071,11.9005,38.1,78,15,18.99,few clouds
207,Lavrentiya,RU,65.5833,-171.0,35.33,98,100,21.25,light snow
208,Kalemie,CD,-5.9475,29.1947,72.63,83,100,3.29,light rain
209,Brouch,LU,49.7361,6.0231,49.48,92,20,5.75,few clouds
210,Port Shepstone,ZA,-30.7414,30.455,70.83,77,64,5.99,broken clouds
211,Naze,JP,28.3667,129.4833,72.52,92,99,9.13,overcast clouds
212,Zaraza,VE,9.3503,-65.3245,86.38,61,100,3.31,overcast clouds
213,Padang,ID,-0.9492,100.3543,73.45,86,100,4.16,light rain
214,Quatre Cocos,MU,-20.2078,57.7625,69.1,60,79,7.7,broken clouds
215,Oshakati,NA,-17.7833,15.6833,89.38,25,81,8.72,broken clouds
216,Gat,IL,31.61,34.7642,65.08,100,11,1.72,few clouds
217,Kattivakkam,IN,13.2167,80.3167,77.09,70,93,12.03,overcast clouds
218,Muisne,EC,0.6,-80.0333,75.94,79,97,12.55,overcast clouds
219,Fermoy,IE,52.1358,-8.2758,47.64,93,38,8.9,scattered clouds
220,Shawville,CA,45.6001,-76.4827,29.82,69,100,12.35,overcast clouds
221,Chuy,UY,-33.6971,-53.4616,81.48,37,71,6.2,broken clouds
222,Guerrero Negro,MX,27.9769,-114.0611,68.95,30,0,1.05,clear sky
223,Singarayakonda,IN,15.25,80.0333,72.68,65,60,5.39,broken clouds
224,Adelanto,US,34.5828,-117.4092,63.41,22,0,3.2,clear sky
225,Salinopolis,BR,-0.6136,-47.3561,83.26,67,91,9.28,overcast clouds
226,Morgan City,US,29.6994,-91.2068,53.02,43,0,4.61,clear sky
227,Manacapuru,BR,-3.2997,-60.6206,88.3,53,100,2.15,overcast clouds
228,Pangnirtung,CA,66.1451,-65.7125,-4.13,96,95,3.6,overcast clouds
229,Sanchor,IN,24.7553,71.7722,73.2,21,0,10.69,clear sky
230,Narsaq,GL,60.9167,-46.05,21.42,81,73,5.5,broken clouds
231,Denpasar,ID,-8.65,115.2167,80.26,88,75,2.3,broken clouds
